,county,max_votes_2016_2000,mean_votes_2016_2000,std_votes_2016_2000,std_3_plus,std_2_plus,std_1_plus,votes_2020,num_std_above_mean_2016_2000,percent_diff_2020_max,votes_2016,votes_2012,votes_2008,votes_2004,votes_2000
72,Wexford,15704,14799,948.9732556821609,17645,16696,15747,18292,3.6808202750551575,0.16479877738155885,15298,14853,15704,15160,12982
73,Jackson,74503,69473,4180.68552273428,82015,77834,73653,81032,2.7648575663352224,0.08763405500449646,69677,69446,74503,71795,61946
74,Marquette,33185,32004,1455.371100441396,36370,34914,33459,37553,3.812773249597341,0.13162573451860782,32976,32194,33185,32488,29179
75,Gladwin,13241,12630,593.1109845551673,14409,13816,13223,14603,3.326527498862204,0.10286232157692017,12472,12583,13241,13227,11629
76,Kalkaska,8833,8172,686.0862919487606,10230,9544,8858,10627,3.5782670909031196,0.20310200384920185,8833,8299,8499,8380,6849
77,Gratiot,17738,16559,921.9818653314175,19324,18402,17480,19148,2.808081262064035,0.07949035967978352,16465,16035,17738,17379,15179
78,Lenawee,47734,45100,2702.185974354837,53206,50504,47802,53448,3.0893506513714826,0.11970503205262496,45939,44724,47734,47012,40093
79,Oscoda,4409,4168,167.06573556537558,4669,4502,4335,4874,4.22588149275966,0.10546609208437287,4073,4042,4328,4409,3992
80,Huron,17466,16419,753.6669290873788,18680,17926,17172,17523,1.4648380569608412,0.0032634833390587426,15917,15484,17135,17466,16095
81,Montcalm,27051,25745,1523.1629459778756,30314,28791,27268,32086,4.163047700670697,0.18612990277623748,26609,25431,27051,26734,22904
82,Otsego,12616,11959,776.9475143148346,14289,13512,12735,14756,3.5999857757014455,0.1696258719086874,12538,11832,12616,12307,10505
